amfi_code,avg_daily_return,downside_std,sortino_ratio,rank
148567,0.001073675403449074,0.005428073713873134,2.3856443733687978,1
120843,0.001081754914045028,0.005531278164682247,2.3643200321667095,2
148569,0.0011240540293206507,0.006404164246039033,2.1469139263460506,3
119551,0.0009167982325947245,0.004886822532070307,2.140267129061778,4
120505,0.0011613203372383726,0.007066673035853754,2.029352940465737,5
149323,0.0010551910655343993,0.006749515527258234,1.875101063919196,6
118632,0.0008652259973214254,0.005210665469778991,1.8501325468557173,7
100033,0.0010798038431409655,0.007132741369596698,1.8291339615146909,8
120504,0.0008430464116382278,0.005145052732898057,1.8052937940992428,9
101206,0.0008517723174694527,0.005238411706705727,1.7995628746984453,10
119094,0.0010266978562569007,0.007162651789767091,1.7037974802462927,11
119598,0.001201015736998063,0.008936172964762255,1.675316570012547,12
148568,0.0008250722735460003,0.00551404129282231,1.6327409778735094,13
149324,0.0011941715475284563,0.00917541246406709,1.6197931764914026,14
119552,0.0007852425930349852,0.00519992971062872,1.609776489628299,15
102885,0.0006741587522893952,0.004602026848849015,1.4357420130649399,16
120503,0.0006975954084313717,0.005216491204490983,1.3379431500669134,17
125497,0.0007095223731125664,0.005387364568538928,1.3306512447571266,18
118633,0.0006163137445172879,0.0049278318961924325,1.1544757169236162,19
118635,0.0006004739698755357,0.0047783171169877335,1.1379767187807346,20
120506,0.0006501094769466256,0.005680792379048571,1.0958951614736425,21
102887,0.0006453406943106673,0.005648515402825676,1.0887552508029967,22
120507,0.0002676525413792974,0.00014659609188476385,1.0521238822579813,23
120841,0.0005220152587214231,0.004860012898166431,0.8625738849916468,24
149322,0.0005222511308194386,0.005505452848291409,0.7621288703723083,25
118634,0.0007071093821003037,0.009557987242320905,0.746014630853352,26
125498,0.00047686346287115043,0.0068303264650599925,0.5088128197169165,27
101207,0.00042445286814923546,0.00955512216722916,0.2766437962609221,28
119093,0.0003298586443710108,0.005164163193373068,0.221086839792755,29
120842,0.0003119045881482694,0.006870582034365552,0.12469346986474814,30
119092,0.0002749789297660465,0.005145892143111504,0.05257398559304429,31
119599,0.00020131692580289384,0.009522556218325871,-0.09438726129459905,32
119095,0.00018236517391230034,0.00935875639862777,-0.12818559275851915,33
120844,0.00025612874999295657,0.00015287024177420774,-0.18772304774540455,34
102886,0.00010981472233970669,0.006771916531253498,-0.34722230254727443,35
100016,0.00014159930699210875,0.0052608151921797325,-0.3510474601523085,36
119120,0.00022226830595075363,0.001502825727103493,-0.37676700817071135,37
118636,0.000201533313113653,0.001459390851296319,-0.6135251287271507,38
100025,0.00017005379350089821,0.0014812735022368374,-0.9418212366054455,39
101208,0.00024154628565903447,0.0001547774250784644,-1.681037866754094,40
